<DTYYYYMMDD>,<TICKER>,<NAME>,<CLOSE>,<HIGH>,<LOW>,<OPEN>,<VOL>
20140122,601519,大智慧,6.64,6.77,6.45,6.6,51372257
20140122,601555,东吴证券,8.07,8.07,7.7,7.76,29125528
20140122,601558,华锐风电,3.58,3.59,3.45,3.51,5467684
20140122,601566,九牧王,12.34,12.35,12.14,12.2,1711510
20140122,601567,三星电气,11.09,11.28,10.54,10.6,7700126
20140122,601588,北辰实业,2.61,2.64,2.51,2.51,4585519
20140122,601599,鹿港科技,6.8,6.95,6.69,6.71,3497550
20140122,601600,中国铝业,3.3,3.31,3.2,3.21,30234865
20140122,601601,中国太保,17.47,17.5,17.05,17.15,20176935
20140122,601607,上海医药,14.06,14.12,13.37,13.4,20875176
20140122,601608,中信重工,3.21,3.24,3.16,3.18,7622399
20140122,601616,广电电气,3.69,3.7,3.62,3.62,4213806
20140122,601618,中国中冶,1.65,1.67,1.62,1.62,23514117
20140122,601628,中国人寿,14.64,14.65,14.21,14.33,11506969
20140122,601633,长城汽车,37.03,37.1,36.01,36.01,5416139
20140122,601636,旗滨集团,7.3,7.31,7.02,7.05,3425908
20140122,601666,平煤股份,4.44,4.45,4.3,4.33,6960113
20140122,601668,中国建筑,3.07,3.08,2.99,3,97950702
20140122,601669,中国电建,2.83,2.84,2.75,2.76,25282411
20140122,601677,明泰铝业,7.88,7.89,7.76,7.76,872854
20140122,601678,滨化股份,7.14,7.17,7,7.06,2845557
20140122,601688,华泰证券,8.83,8.85,8.64,8.7,47555929
20140122,601699,潞安环能,9.33,9.34,9.04,9.05,10652756
20140122,601700,风范股份,14.33,14.45,13.92,13.92,5744910
20140122,601717,郑煤机,5.76,5.79,5.58,5.58,9463005
20140122,601718,际华集团,2.61,2.61,2.54,2.55,8837418
20140122,601727,上海电气,3.58,3.58,3.5,3.51,3382889
20140122,601766,中国南车,4.56,4.57,4.33,4.36,61056548
20140122,601777,力帆股份,6.11,6.14,5.94,5.94,2036238
20140122,601788,光大证券,8.2,8.25,8,8.06,16338073
20140122,601789,宁波建工,8.25,8.26,8,8.05,4888008
20140122,601798,蓝科高新,11.22,11.31,10.68,10.68,2131962
